x : -nan  y : -nan  deg : -nan
x : 4.448428  y : 0.978699  deg : -3.156491
x : 4.351110  y : 1.343687  deg : -3.216004
x : 4.332627  y : 0.858086  deg : 2.330929
x : 4.463651  y : 0.877555  deg : -0.436591
x : 4.423636  y : 1.315739  deg : -1.698488
x : 4.371156  y : 0.745126  deg : 4.396499
x : 4.380752  y : 0.785148  deg : 6.510098
x : 4.388275  y : 0.832811  deg : 5.265377
x : 4.486929  y : 1.293562  deg : -1.964410
x : 4.349537  y : 1.159311  deg : -1.368769
x : 4.240743  y : 0.690867  deg : 2.836527
x : 4.223750  y : 0.772398  deg : 3.690119
x : -1.490694  y : 0.772818  deg : 21.844730
x : 4.318805  y : 0.673026  deg : 0.389142
x : -nan  y : -nan  deg : -nan
x : 4.377330  y : 1.056442  deg : 8.242269
x : 4.369537  y : 0.769387  deg : 5.284605
x : 4.439400  y : 0.956077  deg : 3.469719
x : 4.489730  y : 1.014937  deg : 3.373639
x : 4.504781  y : 1.139641  deg : 1.441068
x : 4.532450  y : 1.072675  deg : 0.560719
x : 4.490226  y : 0.892132  deg : 3.238306
x : 4.497051  y : 0.884033  deg : 3.586126
x : 4.499878  y : 0.876086  deg : 3.447493
x : 4.452911  y : 0.901414  deg : 3.741371
x : 4.428293  y : 0.956478  deg : 3.508353
x : 4.374599  y : 0.864847  deg : 3.082734
x : 4.327479  y : 0.866099  deg : 2.480270
x : 4.335786  y : 0.912882  deg : 1.760446
x : 4.351956  y : 0.974174  deg : 1.298603
x : 4.256061  y : 0.898937  deg : 1.748602
x : 4.247801  y : 0.914659  deg : -0.199590
x : 4.205458  y : 0.860381  deg : 1.974663
x : 4.231668  y : 0.907108  deg : 2.465335
x : 4.209229  y : 0.891772  deg : 3.511975
x : 4.159732  y : 0.915593  deg : 3.339952
x : 4.132209  y : 0.868821  deg : 3.839812
x : 4.137591  y : 0.900131  deg : 4.881416
x : 4.175428  y : 0.899913  deg : 4.259279
x : 4.172743  y : 0.868582  deg : 3.463522
x : 4.174854  y : 0.899918  deg : 4.011134
x : 4.162312  y : 0.915577  deg : 4.581482
x : 4.138328  y : 0.860920  deg : 5.182021
x : 4.226314  y : 1.096248  deg : 0.801532
x : 4.156671  y : 1.139988  deg : 1.978868
x : 4.122316  y : 1.161240  deg : -1.421244
x : 4.005258  y : 1.073349  deg : 1.960381
x : -nan  y : -nan  deg : -nan
x : 3.937846  y : 0.967746  deg : 1.099948
x : 3.920872  y : 1.100383  deg : -0.346726
x : 3.893033  y : 1.190945  deg : -1.671193
x : 3.827586  y : 0.964783  deg : -2.019622
x : 3.651099  y : 0.587491  deg : 4.306512
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.592744  y : 0.634644  deg : 5.305748
x : -nan  y : -nan  deg : -nan
x : 3.668799  y : 1.264511  deg : -5.525372
x : 3.661242  y : 1.289403  deg : -4.051028
x : -nan  y : -nan  deg : -nan
x : -3.011624  y : 0.617207  deg : 19.041901
x : 3.561453  y : 1.190543  deg : -5.264910
x : -nan  y : -nan  deg : -nan
x : 3.481589  y : 1.234943  deg : -2.036378
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
