7.990627 0.067761 -0.374764
7.993343 0.066901 -0.067328
7.989269 0.066789 0.877479
7.990817 0.066928 -0.437678
7.992894 0.067506 0.008777
7.991328 0.067969 -0.229055
7.989693 0.068164 -0.401630
7.991256 0.066840 -0.296865
7.993815 0.067468 0.237492
7.990144 0.067330 -0.421839
7.991815 0.068210 -0.157250
7.990283 0.068037 -0.371941
7.989202 0.066836 0.927078
7.990116 0.067682 -0.441541
7.990454 0.067167 -0.411119
7.993443 0.067191 0.073738
7.991044 0.067009 -0.387167
7.992964 0.067224 -0.024817
7.989233 0.066972 0.883156
7.991557 0.067206 -0.339352
7.990996 0.066954 -0.340810
7.990125 0.068438 -0.289558
7.991219 0.067071 -0.290957
7.991525 0.067342 -0.327248
7.994461 0.066999 0.475979
7.988897 0.067017 0.906625
7.992915 0.066387 -0.158159
7.989105 0.067192 0.960584
7.990729 0.066908 -0.360770
7.991011 0.067128 -0.372784
7.993323 0.067774 0.126838
7.991494 0.067186 -0.284157
7.990651 0.067634 -0.379675
7.990868 0.067269 -0.269479
7.990720 0.067485 1.079452
7.994352 0.067370 0.542332
7.990366 0.067584 -0.387466
7.993551 0.067595 0.199935
7.990531 0.068118 -0.335829
7.991243 0.067481 -0.356101
7.990369 0.067420 -0.369992
7.994626 0.068610 0.978951
7.989781 0.067840 -0.433288
7.990531 0.066961 1.048741
7.990644 0.066625 0.993659
7.990980 0.067586 -0.148241
7.991531 0.068121 -0.163566
7.988645 0.067922 -0.509671
7.990078 0.067935 1.059634
7.989896 0.067584 -0.497234
7.989553 0.066758 0.894213
7.988079 0.067975 0.946828
7.986752 0.067664 0.827807
7.994207 0.067037 0.438766
7.992824 0.067824 0.039725
7.990667 0.068430 -0.233755
7.991584 0.067768 -0.171115
7.989312 0.067475 1.000666
7.989578 0.066499 0.906837
7.993235 0.067119 0.005521
7.989223 0.068067 0.996659
7.989302 0.067393 -0.479731
7.994006 0.067415 0.330808
7.990421 0.066365 -0.537101
7.992701 0.067562 -0.084345
7.990054 0.067500 -0.367831
7.993482 0.066882 0.066561
7.993870 0.067799 0.416597
7.992673 0.066481 -0.210962
7.989345 0.067786 0.932832
7.994294 0.067131 0.358629
7.988170 0.067617 0.923717
7.989540 0.067576 -0.451181
7.990842 0.066849 1.050822
7.990894 0.067615 -0.329880
7.993155 0.067489 0.041782
7.988512 0.067429 0.918677
7.989254 0.066766 0.893406
7.990415 0.067105 -0.370916
7.991111 0.067661 -0.265621
7.991096 0.066988 -0.428924
7.991275 0.066922 -0.322272
7.990364 0.066658 -0.524810
7.991594 0.067090 -0.358738
7.989114 0.067148 0.958813
7.989553 0.066633 -0.589732
7.990768 0.067244 -0.432825
7.990537 0.067009 1.037961
7.990847 0.067710 -0.301096
7.989370 0.067124 -0.500935
7.994791 0.066817 0.708122
7.990738 0.067116 -0.392501
7.992049 0.066960 1.271611
7.989285 0.067691 -0.504989
7.990699 0.067443 -0.398284
7.988776 0.066466 0.835152
7.993574 0.067434 0.193040
7.991975 0.067359 -0.206096
7.989965 0.066990 -0.480278
7.990545 0.067951 -0.328396
7.988790 0.066521 0.815657
7.989959 0.067368 0.977664
7.990128 0.067401 -0.417334
7.991142 0.066757 -0.441259
7.990845 0.067529 -0.279838
7.986764 0.067644 0.821198
7.994263 0.066669 0.417965
7.990120 0.067328 -0.401502
7.993852 0.067094 0.235216
7.994452 0.067295 0.462760
7.992409 0.066271 -0.215762
7.990150 0.067283 -0.421269
7.990913 0.066176 -0.431367
7.992533 0.067177 -0.157724
